Date,Category,Sales_Volume
2009-01-01,Accessories,619
2009-01-01,Laptop,790
2009-01-01,Smartphone,564
2009-01-01,Tablet,768
2009-01-01,Accessories,227
2009-01-01,Laptop,210
2009-01-01,Smartphone,99
2009-01-01,Tablet,419
2009-01-01,Accessories,230
2009-01-01,Laptop,31
2009-01-01,Smartphone,315
2009-01-01,Tablet,117
2009-01-01,Accessories,329
2009-01-01,Laptop,310
2009-01-01,Smartphone,344
2009-01-01,Tablet,766
2009-01-01,Accessories,528
2009-01-01,Laptop,527
2009-01-01,Smartphone,166
2009-01-01,Tablet,213
2009-01-01,Accessories,376
2009-01-01,Laptop,381
2009-01-01,Smartphone,305
2009-01-01,Tablet,349
2009-01-01,Accessories,325
2009-01-01,Laptop,237
2009-01-01,Smartphone,145
2009-01-01,Tablet,247
2009-01-01,Accessories,391
2009-01-01,Laptop,91
2009-01-01,Smartphone,394
2009-01-01,Tablet,71
2009-01-01,Accessories,562
2009-01-01,Laptop,370
2009-01-01,Smartphone,605
2009-01-01,Tablet,869
2009-01-01,Accessories,183
2009-01-01,Laptop,83
2009-01-01,Smartphone,163
2009-01-01,Tablet,379
2009-01-01,Accessories,766
2009-01-01,Laptop,608
2009-01-01,Smartphone,705
2009-01-01,Tablet,501
2009-01-01,Accessories,309
2009-01-01,Laptop,503
2009-01-01,Smartphone,642
2009-01-01,Tablet,320
2009-01-01,Accessories,69
2009-01-01,Laptop,284
2009-01-01,Smartphone,138
2009-01-01,Tablet,131
2009-01-01,Accessories,179
2009-01-01,Laptop,147
2009-01-01,Smartphone,87
2009-01-01,Tablet,304
2009-01-01,Accessories,96
2009-01-01,Laptop,153
2009-01-01,Smartphone,450
2009-01-01,Tablet,117
2009-01-01,Accessories,310
2009-01-01,Laptop,436
2009-01-01,Smartphone,269
2009-01-01,Tablet,194
2009-01-01,Accessories,128
2009-01-01,Laptop,420
2009-01-01,Smartphone,369
2009-01-01,Tablet,378
2009-01-01,Accessories,232
2009-01-01,Laptop,706
2009-01-01,Smartphone,919
2009-01-01,Tablet,495
2009-01-01,Accessories,445
2009-01-01,Laptop,914
2009-01-01,Smartphone,395
2009-01-01,Tablet,767
2009-01-01,Accessories,116
2009-01-01,Laptop,193
2009-01-01,Smartphone,107
2009-01-01,Tablet,123
2009-01-01,Accessories,627
2009-01-01,Laptop,750
2009-01-01,Smartphone,745
2009-01-01,Tablet,321
2009-01-01,Accessories,103
2009-01-01,Laptop,294
2009-01-01,Smartphone,263
2009-01-01,Tablet,540
2009-01-01,Accessories,458
2009-01-01,Laptop,535
2009-01-01,Smartphone,477
2009-01-01,Tablet,711
2009-01-01,Accessories,852
2009-01-01,Laptop,530
2009-01-01,Smartphone,386
2009-01-01,Tablet,344
2009-01-01,Accessories,222
2009-01-01,Laptop,333
2009-01-01,Smartphone,313
2009-01-01,Tablet,422
2009-01-01,Accessories,760
2009-01-01,Laptop,403
2009-01-01,Smartphone,516
2009-01-01,Tablet,562
2009-01-01,Accessories,873
2009-01-01,Laptop,520
2009-01-01,Smartphone,869
2009-01-01,Tablet,322
2009-01-01,Accessories,554
2009-01-01,Laptop,297
2009-01-01,Smartphone,595
2009-01-01,Tablet,310
2009-01-01,Laptop,158
2009-01-01,Smartphone,159
2009-01-01,Tablet,329
2009-01-01,Accessories,395
2009-01-01,Laptop,186
2009-01-01,Smartphone,236
2009-01-01,Tablet,405
2009-01-01,Accessories,498
2009-01-01,Laptop,589
2009-01-01,Smartphone,452
2009-01-01,Tablet,697
2009-02-01,Accessories,694
2009-02-01,Laptop,472
2009-02-01,Smartphone,454
2009-02-01,Tablet,548
2009-02-01,Accessories,379
2009-02-01,Laptop,732
2009-02-01,Smartphone,692
2009-02-01,Tablet,270
2009-02-01,Accessories,682
2009-02-01,Laptop,242
2009-02-01,Smartphone,237
2009-02-01,Tablet,183
2009-02-01,Accessories,387
2009-02-01,Laptop,273
2009-02-01,Smartphone,460
2009-02-01,Tablet,345
2009-02-01,Accessories,703
2009-02-01,Laptop,459
2009-02-01,Smartphone,445
2009-02-01,Tablet,575
2009-02-01,Accessories,78
2009-02-01,Laptop,410
2009-02-01,Smartphone,295
2009-02-01,Tablet,387
2009-02-01,Accessories,96
2009-02-01,Laptop,172
2009-02-01,Smartphone,390
2009-02-01,Tablet,320
2009-02-01,Accessories,234
2009-02-01,Laptop,1211
2009-02-01,Smartphone,570
2009-02-01,Tablet,508
2009-02-01,Accessories,245
2009-02-01,Laptop,318
2009-02-01,Smartphone,205
2009-02-01,Tablet,348
2009-02-01,Accessories,421
2009-02-01,Laptop,493
2009-02-01,Smartphone,424
2009-02-01,Tablet,670
2009-02-01,Accessories,688
2009-02-01,Laptop,663
2009-02-01,Smartphone,521
2009-02-01,Tablet,384
2009-02-01,Accessories,682
2009-02-01,Laptop,409
2009-02-01,Smartphone,944
2009-02-01,Tablet,1386
2009-02-01,Accessories,98
2009-02-01,Laptop,789
2009-02-01,Smartphone,775
2009-02-01,Tablet,312
2009-02-01,Accessories,115
2009-02-01,Laptop,126
2009-02-01,Smartphone,286
2009-02-01,Tablet,214
2009-02-01,Accessories,577
2009-02-01,Laptop,659
2009-02-01,Smartphone,664
2009-02-01,Tablet,894
2009-02-01,Accessories,853
2009-02-01,Laptop,1025
2009-02-01,Smartphone,300
2009-02-01,Tablet,780
2009-02-01,Accessories,155
2009-02-01,Laptop,283
2009-02-01,Smartphone,320
2009-02-01,Tablet,430
2009-02-01,Accessories,482
2009-02-01,Laptop,655
2009-02-01,Smartphone,682
2009-02-01,Tablet,507
2009-02-01,Accessories,355
2009-02-01,Laptop,65
2009-02-01,Smartphone,126
2009-02-01,Tablet,634
2009-02-01,Accessories,740
2009-02-01,Laptop,968
2009-02-01,Smartphone,253
2009-02-01,Tablet,908
2009-02-01,Accessories,588
2009-02-01,Laptop,371
2009-02-01,Smartphone,298
2009-02-01,Tablet,661
2009-02-01,Accessories,393
2009-02-01,Laptop,842
2009-02-01,Smartphone,1201
2009-02-01,Tablet,1220
2009-02-01,Accessories,505
2009-02-01,Laptop,1077
2009-02-01,Smartphone,1045
2009-02-01,Tablet,737
2009-02-01,Accessories,501
2009-02-01,Laptop,369
2009-02-01,Smartphone,789
2009-02-01,Tablet,479
2009-02-01,Accessories,799
2009-02-01,Laptop,576
2009-02-01,Smartphone,521
